Numéro;SortieEnSalleLe;VuLe;Titre;Affiche;TitreOriginal;Pays;Réalisateur;Acteurs ;Avis;Comment;Prix;Ou;JeLai;Accompagnants;StyleGenre;Commentaire;Top de l'année
F1959;10/06/2015;12/06/2015;Jurassic World;Jurassic World;;USA;Colin Trevorrow;Chris Pratt, Bryce Dallas Howard, Nick Robinson;pas mal;LePass_31aout2015;0;Gaumont Opera Premier;;alone;;monstres impec, qq gags;0
F1960;10/06/2015;13/06/2015;Comme un avion;COMME UN AVION (2015);;France;Bruno Podalydès ;Bruno Podalydès, Agnès Jaoui, Sandrine Kiberlain, Vimala Pons;pas mal;LePass_31aout2015;0;Gaumont Ambassade;;alone;;se laisser porter par le courant….. Encore faut-il le faire !!!!;0
F1961;02/09/2008;13/06/2015;La Randonnée;La Randonnée;;Australie;Nicolas Roeg;Jenny Agutter, Luc Roeg, David Gulpilil;pas mal;LePass_31aout2015;0;Publicis;;alone;;craquante la jeunette qd elle se baigne nue virevoltant comme une otarie…..., l'aborigène aidant et respectant la nature, le blanc chiant, destructeur ;0
F1962;01/01/2012;13/06/2015;Southland Tales;SOUTHLAND TALES (2006);;USA;Richard Kelly;Dwayne Johnson, Seann William Scott, Sarah Michelle Gellar;moyen;download CpasBien;0;monPlasmaRetrouvé au 4;;alone;;pas tout compris, FX ok;0
F1963;03/05/2011;14/06/2015;Blood Island (Bedevilled);Blood Island (Bedevilled);;Corée du Sud;Jang Chul-soo;Seo Young-Hee, Sung-won Ji Seo, Min-ho Hwang ;pas mal;download CpasBien;0;monPlasmaRetrouvé au 4;;alone;;on a envie de les zigouiller comme elle……;0
F1964;10/06/2015;14/06/2015;Un Français;UN FRANCAIS (2015);;France;Diastème;Alban Lenoir, Samuel Jouy, Paul Hamy, Olivier Chenille, Jeanne Rosa, Patrick Pineau, Lucie Debay, Renaud Le Bas;pas mal;LePass_31aout2015;0;Gaumont Opera Premier;;alone;;bien joué, affrontement FN néo-nazi, redemption pas facile;0
F1965;17/06/2015;17/06/2015;La Résistance de l'air;La Résistance de l'air;;France;Fred Grivois;Reda Kateb, Ludivine Sagnier, Johan Heldenbergh;passable;LePass_31aout2015;0;Gaumont Opera Premier;;alone;;convenu, scénar baclé;0
F1966;17/06/2015;18/06/2015;Valley of Love;Valley of Love;;France;Guillaume Nicloux;Isabelle Huppert, Gérard DEPARDIEU;passable;LePass_31aout2015;0;Gaumont Ambassade;;alone;;ininteressant, endormissant, ;0
F1967;17/06/2015;20/06/2015;La Bataille de la Montagne du Tigre;LA BATAILLE DE LA MONTAGNE DU TIGRE (2014);;Chine;Tsui Hark;Zhang Hanyu, Lin Gengxin, Liya Tong;moyen;LePass_31aout2015;0;Gaumont Ambassade;;alone;;qq bonnes scènes, celle avec le tigre sinon bof;0
F1968;17/06/2015;21/06/2015;Mustang;MUSTANG (2015);;Turquie;Deniz Gamze Ergüven;Güne? Nezihe ?ensoy, Do?a Zeynep Do?u?lu, Elit ??can;pas mal;LePass_31aout2015;0;Gaumont Opera Premier;;alone;;mariages forçèes et les 2 plus jeunes qui se révoltent;0
F1969;17/06/2015;21/06/2015;The Duke of Burgundy;The Duke of Burgundy;;Angleterre;Peter Strickland;Sidse Babett Knudsen, Chiara D’Anna;pas mal;LePass_31aout2015;0;Publicis;;alone;;amours lesbiennes, papillons, quoi de + exitant !!!!;0
F1970;24/06/2015;24/06/2015;Gunman;GUNMAN (2015);;Angleterre;Pierre Morel;Sean Penn, Jasmine Trinca, Javier Bardem, Ray Winstone, Mark Rylance, Peter Franzen, Idris Elba;moyen;LePass_31aout2015;0;Gaumont Marignan;;alone;;banal, hormis scène finale, paralelle entre corrida mise à mort du taureau et les méchants voulant butter le gentil SeanPenn;0
F1971;24/06/2015;27/06/2015;A Love You;A LOVE YOU (2015);;France;Paul Lefèvre;Antoine Gouy, Paul Lefèvre, Fanny Valette;moyen;LePass_31aout2015;0;Gaumont Capucines;;alone;;ensemble tr moyen;0
F1972;24/06/2015;27/06/2015;Une seconde mère;Une seconde mère;;Brésil;Anna Muylaert;Regina Casé, Michel Joelsas, Camila Márdila;pas mal;LePass_31aout2015;0;Gaumont Opera Premier;;alone;;sympa;0
F1973;01/07/2015;01/07/2015;Terminator Genisys;TERMINATOR GENISYS (2015);;USA;Alan Taylor;Arnold Schwarzenegger, Jason Clarke, Emilia Clarke;pas mal;LePass_31aout2015;0;Gaumont Opera Premier;;alone;;on s'y perd ds le scénar…. I'm old, but not obsoliiiite;0
F1974;01/07/2015;02/07/2015;Tale of Tales;Tale of Tales;;Angleterre;Matteo Garrone;Salma Hayek, Vincent Cassel, Toby Jones;passable;LePass_31aout2015;0;Gaumont Ambassade;;alone;;sans ame, les histoires sont moches…..;0
F1975;01/07/2015;04/07/2015;Love & Mercy;Love & Mercy;Love & Mercy, la véritable histoire de Brian Wilson des Beach Boys;USA;Bill Pohlad;Paul Dano, John Cusack, Paul Giamatti , Elizabeth Banks;pas mal;LePass_31aout2015;0;Gaumont Ambassade;;alone;;Good Vibrations, la symphonie de poche….. Paul Giamatti tr bon…. Smile à écouter….;
F1976;01/07/2015;05/07/2015;Victoria;VICTORIA (2015).jpg;;Allemagne;Sebastian Schipper;Laia Costa, Frederick Lau, Franz Rogowski;pas mal;LePass_31aout2015;0;Gaumont Opera Français;;alone;;réaliste, hormi qq lenteurs……;0
F1977;24/06/2015;06/07/2015;Les Mille et une nuits - L'Inquiet;Les mille et une nuits - L'Inquiet;;Portugal;Miguel Gomes;Crista Alfaiate, Adriano Luz, Rogerio Samora;moyen;LePass_31aout2015;0;Balzac;;alone;;trop long….;0
F1978;08/07/2015;18/07/2015;Hill of Freedom;HILL OF FREEDOM (2014);;Corée du Sud;Sang-soo Hong;Ryo Kase, Sori Moon, Young-hwa Seo;pas mal;LePass_31aout2015;0;Lincoln;;alone;;interessant mais j'ai préféré le précédent;0
F1979;15/11/1978;18/07/2015;Le Convoi de la Peur;LE CONVOI DE LA PEUR;;USA;William Friedkin;Roy Scheider, Bruno Cremer, Francisco Rabal, Amidou;bien;LePass_31aout2015;0;Max Linder;;alone;;n'a pas vieilli, j'avais acheté la bande-son de Tangerine Dream….à l'époque….;0
F1980;15/07/2015;18/07/2015;Love;Love.jpg;;France;Gaspar Noé;Karl Glusman, Aomi Muyock, Klara Kristin;bien;LePass_31aout2015;1;Gaumont Opera Premier;;alone;;ça gicle certes mais le sentiment prédomine, une excellente bande-son;0
F1981;15/07/2015;19/07/2015;La Isla mínima;LA ISLA MINIMA (2014);;Espagne;Alberto Rodriguez;Raúl Arévalo, Javier Gutiérrez (II), Antonio de la Torre;moyen;LePass_31aout2015;0;Gaumont Opera Premier;;alone;;qq incohérences, mais l'ensemble dépaysant, ;0
F1982;15/07/2015;19/07/2015;Les Nuits blanches du facteur;LES NUITS BLANCHES DU FACTEUR (2014).jpg;;Russie;Andrei Kontchalovski;Aleksey Tryapitsyn, Irina Ermolova, Timur Bondarenko;bien;LePass_31aout2015;0;Lincoln;;alone;;magnifique endroit, ils s'y ennuient, résiste plus ou moins bien à la Vodka, pêchent des corrégones et des brochets, et la maman du pti très craquante…;0
F1983;14/07/2015;20/07/2015;Ant-Man;ANT-MAN (2015).jpg;;USA;Peyton Reed;Paul Rudd, Evangeline Lilly, Corey Stoll;bien;LePass_31aout2015;0;Gaumont Capucines;;alone;;jy allais à reculons mais bonne surprise, dérision et FX miniaturisat° réussis;0
F1984;22/07/2015;23/07/2015;Des Apaches;Des Apaches;;France;Nassim Amaouche;Nassim Amaouche, André Dussollier, Laetitia Casta;moyen;LePass_31aout2015;0;Balzac;;alone;;correct, pas compris la ptite fille à la fin ????;0
F1985;08/07/2015;26/07/2015;Amy;Amy.jpg;;Angleterre;Asif Kapadia;Amy Winehouse;bien;LePass_31aout2015;0;Gaumont Opera Premier;;alone;;émouvant, Lolotte lui ressemble énormément…. ( le visage ) ;
F1986;22/07/2015;26/07/2015;Je suis mort mais j'ai des amis;Je suis mort mais j'ai des amis;;Belgique;Guillaume Malandrin, Stéphane Malandrin;Bouli Lanners, Wim Willaert, Lyes Salem;pas mal;LePass_31aout2015;0;Lincoln;;alone;;des bons passages.;0
F1987;22/07/2015;26/07/2015;Pixels;Pixels;;USA;Chris Columbus;Adam Sandler, Michelle Monaghan, Kevin James ;moyen;LePass_31aout2015;0;Gaumont Opera Premier;;alone;;Galaga, Pac-Man, space invaders, farfelu mais pas à jeter, GT bon à Galaga…..;0
F1988;30/07/2008;29/07/2015;Surveillance;Surveillance;;USA;Jennifer Chambers Lynch;Julia Ormond, Bill Pullman, Pell James, Michael Ironside;bien;DVD Xavier;0;MonMoniteur24au4;;alone;;chefdoeuvre de perversité, glauque, excellent;0
F1989;29/07/2015;01/08/2015;Port-au-Prince, Dimanche 4 Janvier;Port-au-Prince, Dimanche 4 Janvier;;Haiti;François Marthouret;Emmanuel Vilsaint, James Star Pierre, Rosa Bursztejn;pas mal;LePass_31aout2015;0;Lincoln;;alone;;émeute lors du bicentenaire, interessant;0
F1990;29/07/2015;01/08/2015;Renaissances;Renaissances;Self/less;USA;Tarsem Singh;Ryan Reynolds, Ben Kingsley, Natalie Martinez;passable;LePass_31aout2015;0;Gaumont Opera Français;;alone;;convenu pénible;0
F1991;05/08/2015;05/08/2015;Aferim!;Aferim!.jpg;;Roumanie;Radu Jude;Teodor Corban, Mihai Comanoiu, Toma Cuzin;pas mal;LePass_31aout2015;0;Lincoln;;alone;;un seigneur Bogyard, énorme potiche renversée en guise de chapo, et ses esclaves tziganes maltraités, en Valachie 1835 , tr instructif;0
F1992;05/08/2015;07/08/2015;La Dame dans l'auto avec des lunettes et un fusil;La Dame dans l'auto avec des lunettes et un fusil;;Belgique;Joann Sfar;Freya Mavor, Benjamin Biolay, Elio Germano;moyen;LePass_31aout2015;0;Gaumont Ambassade;;alone;;craquante la petite style Kiraz, l'ensemble est pas terrible, mais bien filmé;0
F1993;05/08/2015;08/08/2015;Oriana Fallaci;ORIANA FALLACI (2015);;Italie;Marco Turco;Vittoria Puccini, Vinicio Marchioni, Francesca Agostini;pas mal;LePass_31aout2015;0;Balzac;;alone;;tr instructif avec images réelles;0
F1994;22/07/2015;09/08/2015;La Rage au ventre;LA RAGE AU VENTRE (2015);Southpaw;USA;Antoine Fuqua;Jake Gyllenhaal, Rachel McAdams, Forest Whitaker;moyen;LePass_31aout2015;0;Gaumont Opera Premier;;alone;;tirelarmes efficace…sur moi;0
F1995;12/08/2015;12/08/2015;La Nina de Fuego;La Nina de Fuego;Magical Girl;Espagne;Carlos Vermut;Bárbara Lennie , José Sacristán , Luis Bermejo;pas mal;LePass_31aout2015;0;Gaumont Opera Premier;;alone;;mystérieux, final glauque…..;0
F1996;12/08/2015;15/08/2015;Coup de chaud;COUP DE CHAUD (2015);;France;Raphaël Jacoulot;Jean-Pierre Darroussin, Grégory Gadebois, Karim Leklou;moyen;LePass_31aout2015;0;Gaumont Capucines;;alone;;manque d'intensité, tourné ds le 47;0
F1997;12/08/2015;15/08/2015;Mission: Impossible - Rogue Nation;MISSION  IMPOSSIBLE - ROGUE NATION (2015);;USA;Christopher McQuarrie;Tom Cruise, Jeremy Renner, Simon Pegg;pas mal;LePass_31aout2015;0;Max Linder;;alone;;poursuite à moto bien filmée, à part ça bof;
F1998;05/08/2015;16/08/2015;Sur la ligne;SUR LA LIGNE (2014);;Tchéquie;Andréa Sedlackova;Anna Geislerova, Judit Bárdos, Roman Luknar;pas mal;LePass_31aout2015;0;5 Caumartin;;alone;;historiquement captivant;0
F1999;08/07/2015;17/08/2015;Daddy Cool;DADDY COOL (2014);;USA;Maya Forbes;Mark Ruffalo, Zoe Saldana, Imogene Wolodarsky;moyen;LePass_31aout2015;0;Pasquier;;alone;;sympa mais pas hilarant;0
F2000;19/08/2015;19/08/2015;La Belle saison;La Belle saison;;France;Catherine Corsini;Cécile de France, Izïa Higelin, Noémie Lvovsky;moyen;LePass_31aout2015;0;Gaumont Ambassade;;alone;;bof mais le limouzin c bien;0
F2001;22/08/2015;22/08/2015;7th Floor;Séptimo.jpg;Séptimo;Argentine;Patxi Amezcua;Ricardo Darín, Belén Rueda, Luis Ziembrowski;moyen;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;pas super crédible mais bon suspens…. Ya tjrs un flic impliqué !!!!!;0
F2002;05/03/2008;23/08/2015;Intraçable;INTRACABLE;Untraceable;USA;Gregory Hoblit;Diane Lane, Billy Burke, Colin Hanks;moyen;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;bonne idée ( sur l'attirance des gens pour la cruauté ) …mais les tortures trop insupportables et pas techniquement crédibles…….;0
F2003;17/09/2014;05/10/2015;3 cœurs;3 cœurs.jpg;;France;Benoît Jacquot;Benoît Poelvoorde, Charlotte Gainsbourg, Chiara Mastroianni, Catherine Deneuve;pas mal;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;du charme cette Charlotte……;0
F2004;06/08/2014;06/10/2015;Colt 45;Colt 45;;France;Fabrice Du Welz;Gérard Lanvin, Joey Starr, Alice Taglioni;moyen;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;action policier à la française, c légèrement mieux q1 série américaine….;0
F2005;01/06/2010;07/10/2015;Ultime Evasion ( The escapist );Ultime Evasion ( The escapist );;Angleterre;Rupert Wyatt;Brian Cox, Joseph Fiennes, Liam Cunningham;moyen;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;ambiance film noir réussie;0
F2006;01/05/2015;08/10/2015;Son of a gun;Son of a gun;;Australie;Julius Avery;Brenton Thwaites, Ewan McGregor, Alicia Vikander;pas mal;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;ambiance film noir réussie;0
F2007;18/08/2015;09/10/2015;Plastic;Plastic.jpg;;Angleterre;Julizn Gilbey;Ed Speleers, Will Poulter, Alfie Allen;moyen;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;pour ados mais humour anglais….;0
F2008;30/09/2014;10/10/2015;Jarhead 2;Jarhead 2.jpg;Jarhead 2: Field of Fire;USA;Don Michael Paul;Josh Kelly, Stephen Lang, Cassie Layton;passable;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;convenu, scénar baclé, les méchants afgans tombent comme d mouches……;0
F2009;06/08/2014;11/10/2015;Détective Dee II : la légende du dragon des mers;Détective Dee II - La Légende du Dragon des Mers.jpg;Di Renjie: Shen du long wang;Hong-Kong;Tsui Hark;Mark Chao, Feng Shaofeng, Carina Lau;moyen;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;beaux plans, mais jen ai marre de les voir voler sur les toits…….;0
F2010;06/08/2014;12/10/2015;The Colony;THE COLONY (2013);;USA;Jeff Renfroe;Laurence Fishburne, Kevin Zegers, Bill Paxton;moyen;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;survivre sur une planête glacière avec des anthropophages, classique mais regardable…..;0
F2011;06/04/1983;13/10/2015;Le Dernier Combat;Le Dernier Combat;;France;Luc Besson;Pierre Jolivet, Jean Reno, Jean Bouise;pas mal;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;anticipation;simple mais du bon besson;
F2012;17/03/2015;14/10/2015;Alliés;Alliés;;Angleterre;Dominic Burns;Julian Ovenden, Chris Reilly, Matt Willis;passable;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;WW2;convenu, scénar baclé, les méchants allemands tombent comme d mouches……;0
F2013;25/12/2013;16/10/2015;Le Loup de Wall Street;Le Loup de Wall Street;The Wolf of Wall Street;USA;Martin Scorsese;Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Kyle Chandler, Jean Dujardin;pas mal;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;cru, réaliste bien joué;0
F2014;22/08/2007;16/10/2015;Paranoïak;Paranoïak.jpg;;USA;D.J. Caruso;Shia LaBeouf, Carrie-Anne Moss, David Morse;passable;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;bof, pour ados….;0
F2015;21/10/2015;25/10/2015;Seul sur Mars;SEUL SUR MARS (2015);Alone on Mars;USA;Ridley Scott;Matt Damon, Jessica Chastain, Jeff Daniels, Michael Peña, Sean Bean,;pas mal;LePass_24oct2016;0;Max Linder;;alone;;beaux plans, scénar convenu;0
F2016;07/10/2015;26/10/2015;Sicario;Sicario;;USA;Denis Villeneuve;Emily Blunt, Benicio Del Toro, Josh Brolin;bien;LePass_24oct2016;0;Gaumont Marignan;;alone;;bien filmé, bien glauque sans gore, impeccable;0
F2017;14/10/2015;28/10/2015;L'Homme irrationnel;L'HOMME IRRATIONNEL (2015);Irrational Man;USA;Woody Allen;Joaquin Phoenix, Emma Stone, Parker Posey;bien;LePass_24oct2016;0;Gaumont Opera Premier;;alone;;amoral mais exitant;0
F2018;28/10/2015;29/10/2015;The Walk – Rêver Plus Haut;The Walk – Rêver Plus Haut;The Walk;USA;Robert Zemeckis;Joseph Gordon-Levitt, Ben Kingsley;moyen;LePass_24oct2016;0;Gaumont Marignan;;alone;;des images qui m'ont donné le vertige…….;0
F2019;28/10/2015;30/10/2015;Le Bouton de nacre;Le Bouton de nacre;;Chili;Patricio Guzmán;Patricio Guzmán;bien;LePass_24oct2016;0;Balzac;;alone;;"comment vous traduisez Dieu ds votre langue ( indiens du Chili exterminés, reste 20 descendants ) : euh on a pas "" et police : euih on a pas ça non plus !!!!";0
F2020;28/10/2015;31/10/2015;Notre petite sœur;NOTRE PETITE SOEUR (2015);Umimachi Diary;Japon;Hirokazu Koreeda;Haruka Ayase, Masami Nagasawa, Kaho;pas mal;LePass_24oct2016;0;Balzac;;alone;;tr jolies ces japanese girls….;0
F2021;28/10/2015;31/10/2015;The Lobster;The Lobster.jpg;;Angleterre;Yorgos Lanthimos;Colin Farrell, Rachel Weisz, John C. Reilly, Jessica Barden;bien;LePass_24oct2016;0;Gaumont Opera Premier;;alone;;entre anticipation et fantastique, un chameau qui passe…..;0
F2022;01/11/2015;01/11/2015;Assassination;Assassination.jpg;;Corée du Sud;CHOI Dong-hoon;Jun Ji-hyun, Lee Jung-jae, Ha Jung-woo;bien;LePass_24oct2016;0;Publicis;;alone;;fresque historique, occupation japonnaise en Corée, espionnage, famille action ;0
F2023;28/10/2015;01/11/2015;Regression;Regression;;Canada;Alejandro Amenábar;Ethan Hawke, Emma Watson,  David Thewlis;pas mal;LePass_24oct2016;0;Gaumont Capucines;;alone;;ça commence par un policier américain classique, une enquête sur affaire de satanismeet ça fini plus intelligent….;0
F2024;06/08/2014;01/11/2015;Young Ones;YOUNG ONES (2014);;USA;Jake Paltrow;Michael Shannon, Nicholas Hoult, Elle Fanning;pas mal;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;bon cénar;0
F2025;02/11/2015;02/11/2015;Shortcuts 3;LADY AT BATH.png;( Lady at bath, Prey, Method, Her, Hot summer night, Falling in love, Beep );Corée du Sud;7 réa coréèns;des acteurs coréèns;pas mal;LePass_24oct2016;0;Publicis;;alone;;qq bonnes idées, la quinquat qui s'ennuyait ds son boulot, ds sa famille, ressent un désir sexuel en voyant les fesses d1 client de son Bain Public…..;0
F2026;16/07/2014;03/11/2015;Ablations;ABLATIONS (2014);;France;Arnold de Parscau;Denis Ménochet, Florence Thomassin, Virginie Ledoyen, Philippe Nahon, Yolande Moreau, Serge Riaboukine, Lika Minamoto, Philippe Rebbot;pas mal;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;bon cénar, aux limites de l'absurde avc des personnages caricaturaux, j'ai bien ri qd les CRS arrivent ds le zoo pour choper Philippe Rebbot perché ds 1 arbre……;0
F2027;24/09/2014;04/11/2015;Elle l'adore;Elle l'adore;;France;Jeanne Herry;Sandrine Kiberlain, Laurent Lafitte, Pascal Demolon;pas mal;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;bien joué, bien réalisé;0
F2028;11/11/2015;05/11/2015;L'Etage du dessous;L'Etage du dessous.jpg;Un Etaj Mai Jos;Roumanie;Radu Muntean;Teodor Corban, Iulian Postelnicu, Oxana Moravec;moyen;LePass_24oct2016;0;Lincoln;;alone;;un peu lent mais pas trop mal qd mem;0
F2029;03/06/2015;06/11/2015;Kidnapping Mr. Heineken;Kidnapping Mr. Heineken;;Allemagne;Daniel Alfredson;Anthony Hopkins, Sam Worthington, Jim Sturgess;pas mal;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;on peut etre riche, de sa fortune ou de ses amis mais pas les deux !!;0
F2030;04/11/2015;07/11/2015;Avril et le monde truqué;Avril et le monde truqué;;France;Franck Ekinci, Christian Desmares;Animation France;pas mal;LePass_24oct2016;0;Gaumont Opera Premier;;alone;;créatif, interessant;
F2031;15/10/2014;08/11/2015;Ninja Turtles;Ninja Turtles.jpg;Teenage Mutant Ninja Turtles;USA;Jonathan Liebesman;Megan Fox, Will Arnett, William Fichtner;moyen;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;ds ce genre ça passe !!!!;0
F2032;07/10/2015;09/11/2015;Asphalte;Asphalte;;France;Samuel Benchetrit;Isabelle Huppert, Gustave Kervern, Valéria Bruni-Tedeschi, Michael Pitt;bien;LePass_24oct2016;0;Pasquier;;alone;;glauque, absurde ( donc marrant ), poétique, touchant;0
F2033;11/11/2015;11/11/2015;007 Spectre;007 Spectre;Spectre;Angleterre;Sam Mendes;Daniel Craig, Christoph Waltz, Léa Seydoux;passable;LePass_24oct2016;20;Gaumont Capucines;;Alx, Pauline, Bryce, Kand, Lolo;;rien d'original, tout le monde déçu;0
F2034;11/11/1993;12/11/2015;Bad Boy Bubby;Bad Boy Bubby.jpg;;Australie;Rolf de Heer;Nicholas Hope;Tr bien;LePass_24oct2016;0;5 Caumartin;;alone;;cultissime……;0
F2035;01/10/2014;12/11/2015;Dracula untold;Dracula untold;;USA;Gary Shore ;Luke Evans, Dominic Cooper, Charles Dance, Sarah Gadon;moyen;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;Vlad l'empaleur…..;0
F2036;17/12/2014;14/11/2015;Le Septiéme fils;Le Septiéme fils;The Seventh Son;USA;Sergey Bodrov;Jeff Bridges, Ben Barnes, Julianne Moore, Olivia Williams;moyen;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;heroic fantasy archi vu et revu, on retiendra les monstres sympa, et la classe de Jeff et Julianne…..;0
F2037;11/11/2015;14/11/2015;Une Histoire de Fou;Une Histoire de Fou;;France;Robert Guédiguian;Simon Abkarian, Ariane Ascaride, Syrus Shahidi, Grégoire Leprince-Ringuet, Robinson Stévenin;pas mal;LePass_24oct2016;0;Gaumont Opera Premier;;alone;;un peu long mais historiqment interessant et en + le lendemain des attantats terroristes sur Paris ;0
F2038;15/11/2015;15/11/2015;Unforgiven;Unforgiven;Yurusarezaru Mono;Japon;Sang-il Lee;Ken Watanabe, Akira Emoto, Kôichi Satô;pas mal;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;western japonais, ambiance réussie, j'ai découvert les Aïnous (ethnie du Japon et de Russie);0
F2039;11/11/2015;16/11/2015;Francofonia, le Louvre sous l’Occupation;Francofonia, le Louvre sous l’Occupation.jpg;;Russie;Alexandr Sokurov;Louis-Do de Lencquesaing, Benjamin Utzerath, Vincent Nemeth;moyen;LePass_24oct2016;0;Lincoln;;alone;;Doc, film, intello Art ???;0
F2040;15/05/2015;17/11/2015;The Dark Valley;The Dark Valley (2014);Das Finstere Tal;Allemagne;Andreas Prochaska;Sam Riley, Paula Beer, Tobias Moretti;pas mal;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;Sam Riley, entre LéoDiCarpaccio et JonyDaipe;0
F2041;18/11/2015;18/11/2015;El Club;El Club.jpg;;Chili;Pablo Larraín;Alfredo Castro, Roberto Farías, Antonia Zegers, Alejandro Goic;bien;LePass_24oct2016;0;Gaumont Opera Premier;;alone;;"encore du lourd, des prêtres quon mal tourné ( un prêtre c déjà qq1 qua mal tourné : Pit ), ""si vous tomber sur mes pillules, faites attention ! Avec de l'alcool vous risquez de vous faire enc….""";0
F2042;04/11/2014;18/11/2015;The Anomaly;THE ANOMALY (2014);;Angleterre;Noel Clarke;Noel Clarke, Ian Somerhalder, Brian Cox, Alexis Knapp;passable;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;meuf canon, mais g du mal à le finir……;0
F2043;18/11/2015;21/11/2015;Je suis un soldat;Je suis un soldat;;France;Laurent Larivière;Louise Bourgoin, Jean-Hugues Anglade, Laurent Capelluto;moyen;LePass_24oct2016;0;Gaumont Capucines;;alone;;Louise tte nue, ya du physique…. Malgré cette beauté, le scénar a des loupés….. Giséle ( de-la-Mayenne-qui-a-le-pouvoir-de guérir-les-brulures a vu BadBoyBubby sur mon conseil et l'a trouvé gratiné !! );0
F2044;18/11/2015;21/11/2015;Macbeth;Macbeth;;Angleterre;Justin Kurzel;Michael Fassbender, Marion Cotillard, Paddy Considine, Sean Harris;pas mal;LePass_24oct2016;0;Gaumont Opera Premier;;alone;;belle photo, ciels rouges, montagnes désertiques et battues par le vent, un peu ennuyeux toutdmem;0
F2045;16/06/2015;22/11/2015;Ardor;ARDOR (2014);;Argentine;Pablo Fendrik;Gael García Bernal, Alice Braga, Claudio Tolcachir ;pas mal;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;un peu de Rambo, un peu de western…en Argentine…;0
F2046;18/11/2015;22/11/2015;Hunger Games - La Révolte - Partie 2;Hunger Games - La Révolte - Partie 2;;USA;Francis Lawrence;Jennifer Lawrence, Josh Hutcherson;passable;LePass_24oct2016;0;Gaumont Capucines;;alone;;à part le fond politique ( 1 tyran peut en cacher un autre… ) pénible….;0
F2047;18/11/2015;22/11/2015;Slow West;Slow West;;Angleterre;John Maclean;Michael Fassbender, Ben Mendelsohn, Rory McCann;bien;canal + à la dmde;0;monPlasmaRetrouvé au 4;;alone;;western moderne bon scénar;0
F2048;30/09/2015;22/11/2015;Vers l'autre rive;Vers l'autre rive;Kishibe no tabi;Japon;Kiyoshi Kurosawa;Eri Fukatsu, Tadanobu Asano;moyen;LePass_24oct2016;0;Pasquier;;alone;;emmernuyeux mais japonnais;0
F2049;18/11/2015;23/11/2015;L'Idiot !;L'IDIOT ! (2014);;Russie;Yuri Bykov;Artem Bystrov, Natalia Surkova, Dmitry Kulichkov;bien;LePass_24oct2016;0;Pasquier;;alone;;misére vodka, corruption, se sacrifie par honnêteté !!!;0
F2050;25/11/2015;25/11/2015;Ixcanul;Ixcanul;;Guatemala;Jayro Bustamante;María Mercedes Croy, Maria Telon, Manuel Antún;moyen;LePass_24oct2016;0;Gaumont Opera Premier;;alone;;instructif, peuplade indiens locaux, manque paysages……;0
F2051;18/11/2015;28/11/2015;Hunger Games - La Révolte - Partie 2;Hunger Games - La Révolte - Partie 2.jpg;;USA;Francis Lawrence;Jennifer Lawrence, Josh Hutcherson;passable;LePass_24oct2016;11;Gaumont Marignan;;Lolotte;;re-pénible….;0
F2052;25/11/2015;29/11/2015;21 nuits avec Pattie;21 nuits avec Pattie.jpg;;France;Arnaud Larrieu, Jean-Marie Larrieu;Isabelle Carré, Karin Viard, André Dussollier, Sergi López, Denis Lavant;moyen;LePass_24oct2016;0;Gaumont Opera Français;;alone;;paroles crues qui ne font rire que les coincés, réveil du plaisir chez une impuissante ouais bof !!!!;0
F2053;02/09/2015;29/11/2015;No Escape;No Escape.jpg;;USA;John Erick Dowdle;Owen Wilson, Lake Bell, Pierce Brosnan;moyen;download PirateBay;0;monPlasmaRetrouvé au 4;;Lolotte;;contecte révolutionnaire Cambodge interessant, coté action c du déjà vu;
