Numéro;SortieEnSalleLe;VuLe;Titre;Affiche;TitreOriginal;Pays;Réalisateur;Acteurs ;Avis;Comment;Prix;Ou;JeLai;Accompagnants;StyleGenre;Commentaire;Top de l'année
F1310;06/06/2012;07/06/2012;Le Grand soir;Le Grand soir;;France;Benoît Delépine, Gustave Kervern, ;Benoît Poelvoorde, Albert Dupontel, Brigitte Fontaine, Gérard Depardieu, Areski Belkacem, Bouli Lanners;pas mal;LePass_4mars2013;0;Gaumont Opera Premier;;Anne;Social déjanté;bcp plus sérieux qil n'y parait, qq moments cultes : Brigitte Fontaine qui sort un roti bizarre du four : Pas Maaaal !!!;0
F1311;06/06/2012;10/06/2012;Luv;Luv.jpg;;USA;Sheldon Candis ;Michael Rainey Jr., Dennis Haysbert, Danny Glover;moyen;LePass_4mars2013;0;Gaumont Ambassade;;alone;peti gars à l'école des adultes voyous;acteurs charismatiques, qq scènes bien filmées, mais emmener son neveu de 10 ans ds une journée ultraviolente, c pas cohérent !!! ( AvantPrem festival des ChampsElysées );0
F1312;06/06/2012;10/06/2012;Vous n'avez encore rien vu;VOUS N'AVEZ ENCORE RIEN VU (2012);;France;Alain Resnais ;Mathieu Amalric, Sabine Azéma, Anne Consigny;passable;LePass_4mars2013;0;Balzac;;alone;théatre filmé;( AvantPrem festival des ChampsElysées ) grave emmernuyeux !! Yavai bcp de monde, heureuzmnt g resquillé….;0
F1313;13/06/2012;15/06/2012;Bienvenue chez nous;Bienvenue chez nous;;France;Jean Becker ;Patrick Chesnais, Jeanne Lambert, Miou-Miou, Jacques Weber, Didier Bénureau;passable;LePass_4mars2013;0;Gaumont Opera Premier;;alone;historiette;gentil téléfilm;0
F1314;13/06/2012;16/06/2012;Blanche Neige et le chasseur;Blanche Neige et le chasseur;Snow White and the Huntsman;USA;Rupert Sanders;Kristen Stewart, Chris Hemsworth, Charlize Theron, Ian McShane, Sam Clafin, Nick Frost, Eddie Izzard, Bob Hoskins, Toby Jones, Eddie Marsan, Stephen Graham;passable;LePass_4mars2013;0;Gaumont Marignan;;alone;Merde americaine;tous les poncifs du genre, pénible;0
F1315;13/06/2012;16/06/2012;Días de gracia;Días de gracia;Días de gracia, Days of Grace;Mexique;Everardo Gout;Tenoch Huerta, Kristian Ferrer, Dolores Heredia, Carlos Bardem, Eilen Yañez, Mario Zaragoza, José Sefami, Sonia Couho, Veronica Falcon;bien;LePass_4mars2013;0;Gaumont Parnasse;;alone;Action corruption ;tr violent, mais scénar tr bon, idée originale ( sur 3 coupes du monde d foot ) qui e rends tous cons…..;
F1316;13/06/2012;16/06/2012;La Petite Venise;La petite Venise;Io sono Li;Italie;Andrea Segre;Zhao Tao, Rade Serbedzija, Marco Paolini, Roberto Citran, Giuseppe Battiston;bien;LePass_4mars2013;0;Lincoln;;alone;Relations italo-chinoise;amitié brisée entre vx pécheur vénitien et esclave chinoise cause racisme de ces bourrins de ritals;0
F1317;22/06/2011;17/06/2012;Brighton Rock;Brighton Rock;;Angleterre;Rowan Joffe ;Sam Riley, Andrea Riseborough,Helen Mirren, John Hurt;pas mal;canal + à la dmde;0;Télé au 4;;alone;mafia années 60;flippant le sam riley sans un sourire;0
F1318;09/03/2011;17/06/2012;Fighter;Fighter;The Fighter;USA;David O. Russell ;Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo, Mickey O'Keefe, Jack McGee;pas mal;canal + à la dmde;0;Télé au 4;;alone;histoire boxeurs en famille;tr énervante la famille de la mère, !!!!;
F1319;13/06/2012;17/06/2012;Madagascar 3 Bons Baisers d’Europe;madagascar-3;Madagascar 3 : Europe's Most Wanted;USA;Eric Darnell, Tom McGrath;Animation USA;passable;LePass_4mars2013;0;Gaumont Marignan;;Bryce, Kand, Lolo;Pour les petits;trop orienté marmots, 3D plein la vue;0
F1320;13/06/2012;18/06/2012;Cassos;Cassos;;France;Philippe Carrèse;Didier Bénureau, Simon Astier, Agnès Soral, Féodor Atkine, Patrick Bosso, Damien Jouillerot, Elodie Varlet, Olivier Sitruk, Marie Kremer, Wojitek Pszoniak;pas mal;LePass_4mars2013;0;Publicis;;alone;thriller déjanté;comédie humour absurde, qq passages bien, un peu lent;0
F1321;20/06/2012;21/06/2012;Faust;Faust;;Russie;Aleksandr Sokurov;Johannes Zeiler, Anton Adasinsky, Isolda Dychauk, Georg Friedrich, Hanna Schygulla, Antje Lewald, Florian Brückner, Sigurður Skúlason, Maxim Mehmet;moyen;LePass_4mars2013;0;Lincoln;;alone;Curiosité intellectuelle;c rustique, cru, bien filmé mais plombant, heureuzment fete de la zip en sortant…..;0
F1322;13/06/2012;23/06/2012;Marley;Marley;;USA;Kevin Macdonald ;Bob Marley, Ziggy Marley, Jimmy Cliff, Cedella Marley, Rita Marley, Chris Blackwell, Lee Perry, Cindy Breakspeare, Dr. Carlton Pee-Wee Fraser, Bunny Wailer;bien;LePass_4mars2013;0;Gaumont Capucines;;Faf;Biopic;tr interessant, captivant du début à la fin, grand bonhomme c Bob Marley;0
F1323;20/06/2012;24/06/2012;Adieu Berthe - l'enterrement de mémé;adieu-berthe.jpg;;France;Bruno Podalydès ;Denis Podalydès, Valérie Lemercier, Isabelle Candelier, Bruno Podalydès, Samir Guesmi, Michel Vuillermoz, Pierre Arditi, Benoît Hamon,;pas mal;LePass_4mars2013;0;Magestic Bastille;;Faf;Comédie;dialogues travaillés, poétique ;0
F1324;20/06/2012;24/06/2012;The Raid;The Raid.jpg;Serbuan maut;Indonésie;Gareth Evans ;Iko Uwais, Joe Taslim, Doni Alamsyah, Yayan Ruhian, Pierre Gruno, Ray Sahetapy, Tegar Satrya;pas mal;LePass_4mars2013;0;Gaumont Ambassade;;alone;Action;du fight aux choré impressionantes, applauz ds la salle à la fin de qq scénes de fight;0
F1325;20/06/2012;25/06/2012;L'Ombre du mal;lombre-du-mal;The Raven;USA;James McTeigue;John Cusack, Luke Evans, Alice Eve, Brendan Gleeson;moyen;LePass_4mars2013;0;Publicis;;Anne;polar 18éme gore;trop gore mais bien réalisé;0
F1326;20/06/2012;26/06/2012;The Deep Blue Sea;The Deep Blue Sea.jpg;;Angleterre;Terence Davies;Rachel Weisz, Tom Hiddleston, Simon Russell Beale;pas mal;LePass_4mars2013;0;Lincoln;;alone;Passion amoureuse;choose between the devil and the deep blue sea, choisir entre la peste et le choléra, comment n pas craquer sur le regard de la belle Rachel;0
F1327;06/07/2011;28/06/2012;J'ai rencontré le Diable;j-ai-rencontre-le-diable;Akmareul boatda, I saw the Devil;Corée du Sud;Ji-woon Kim ;Byung-hun Lee, Min-sik Choi, Jeon Gook-hwan, Ho-jin Jeon, Oh San-ha, Kim Yoon-seo;bien;canal + à la dmde;0;Télé au 4;;alone;Polar;typique coréèn, cruel mais scénar original;0
F1328;27/06/2012;30/06/2012;La Part des anges;La Part des anges;The Angels' Share;Angleterre;Ken Loach;Paul Brannigan, John Henshaw, Gary Maitland, William Ruane, Jasmin Riggins;moyen;LePass_4mars2013;0;Gaumont Capucines;;alone;social aventure;sympa mais pas jouissif;0
F1329;27/06/2012;01/07/2012;Starbuck;Starbuck;;Canada;Ken Scott;Patrick Huard, Julie LeBreton, Antoine Bertrand, Dominic Philie, Marc Bélanger, Igor Ovadis, David Michael, Patrick Martin;bien;LePass_4mars2013;0;Gaumont Capucines;;alone;social marrant;drole bien joué original et émouvant;0
F1330;16/03/2011;13/07/2012;Au bistro du coin;Au bistro du coin.jpg;Bouts de ficelles;France;Charles Nemes;Fred Testot, Guy Lecluyse, Vincent Desagnat, Nader Boussandel, Frédérique Bel, Anne Girouard, Eddy Mitchell, Hélène Seuzaret, Vincent Lacoste, Bruno Solo;bien;canal + à la dmde;0;Télé au 4;;alone;social marrant;dialogues bien, persnnages caricaturaux mais marrant, fred testo doit faire d progrés;0
F1331;04/07/2012;14/07/2012;Holy motors;Holy motors;;France;Leos Carax ;Denis Lavant, Edith Scob, Eva Mendes, Kylie Minogue, Michel Piccoli, Elise Lhomeau, Jeanne Disson;moyen;LePass_4mars2013;2;Max Linder;;Faf;SF;trop complexe, esthetique, scéne acordéon ds église tr bien;0
